index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,sex,age,major,knowledge,sub_knowledge
0,Class12,1704902126.0,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_m8vwGkEZc3TSW2xqYUoR,340,2,43d98a750c726bb39d11,male,21,J40192,y9W5d,y9W5d_c0w4mj5h
1,Class12,1704899164.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,324,2,5d16326e4577a67d94c6,female,21,J40192,g7R2j,g7R2j_j1g8gd3v
2,Class12,1704898728.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,3,43d98a750c726bb39d11,male,21,J40192,b3C9s,b3C9s_j0v1yls8
3,Class12,1704898285.0,Partially_Correct,2,Question_FNg8X9v5zcbB1tQrxHR3,Method_BXr9AIsPQhwNvyGdZL57,528,5,43d98a750c726bb39d11,male,21,J40192,b3C9s,b3C9s_j0v1yls8
4,Class12,1704898178.0,Partially_Correct,2,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,344,2,43d98a750c726bb39d11,male,21,J40192,b3C9s,b3C9s_j0v1yls8
5,Class12,1704898144.0,Absolutely_Error,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,448,3,43d98a750c726bb39d11,male,21,J40192,b3C9s,b3C9s_j0v1yls8
6,Class12,1704898090.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,384,5,5d16326e4577a67d94c6,female,21,J40192,g7R2j,g7R2j_j1g8gd3v
7,Class12,1704898056.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,0,2,43d98a750c726bb39d11,male,21,J40192,b3C9s,b3C9s_j0v1yls8
8,Class12,1704897977.0,Partially_Correct,2,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,424,3,43d98a750c726bb39d11,male,21,J40192,b3C9s,b3C9s_j0v1yls8
9,Class12,1704897910.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_Cj9Ya2R7fZd6xs1q5mNQ,340,4,5d16326e4577a67d94c6,female,21,J40192,g7R2j,g7R2j_j1g8gd3v
10,Class12,1704897870.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_Cj9Ya2R7fZd6xs1q5mNQ,352,3,5d16326e4577a67d94c6,female,21,J40192,g7R2j,g7R2j_j1g8gd3v
11,Class12,1704895686.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,356,4,e00bc7d9f2ce32c4f745,female,19,J23517,g7R2j,g7R2j_j1g8gd3v
12,Class12,1704895626.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,344,4,21fc5674d24be8e9da89,male,23,J40192,g7R2j,g7R2j_j1g8gd3v
13,Class12,1704893221.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,352,3,21fc5674d24be8e9da89,male,23,J40192,b3C9s,b3C9s_j0v1yls8
14,Class12,1704892692.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_gj1NLb4Jn7URf9K2kQPd,324,3,5d16326e4577a67d94c6,female,21,J40192,b3C9s,b3C9s_j0v1yls8
15,Class12,1704892637.0,Error2,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,472,3,5d16326e4577a67d94c6,female,21,J40192,b3C9s,b3C9s_j0v1yls8
16,Class12,1704891976.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,360,3,a7fc1ba478db11fde063,male,18,J40192,b3C9s,b3C9s_j0v1yls8
17,Class12,1704891891.0,Error3,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,3,5d16326e4577a67d94c6,female,21,J40192,b3C9s,b3C9s_j0v1yls8
18,Class12,1704891601.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_gj1NLb4Jn7URf9K2kQPd,384,3,a7fc1ba478db11fde063,male,18,J40192,g7R2j,g7R2j_j1g8gd3v
19,Class12,1704891495.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,348,4,63ff3dff3eb31d62ab3e,male,23,J78901,b3C9s,b3C9s_j0v1yls8
