index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,sex,age,major,knowledge,sub_knowledge
0,Class6,1704029641.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,356,4,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
1,Class6,1704029617.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,0,5,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
2,Class6,1704029554.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,0,1,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
3,Class6,1704029475.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
4,Class6,1704029237.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,312,3,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
4,Class6,1704029237.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,312,3,05e1c3ce1728da7e37e0,female,20,J87654,k4W1c,k4W1c_h5r6nux7
5,Class6,1704029121.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_m8vwGkEZc3TSW2xqYUoR,0,2,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
5,Class6,1704029121.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_m8vwGkEZc3TSW2xqYUoR,0,2,05e1c3ce1728da7e37e0,female,20,J87654,k4W1c,k4W1c_h5r6nux7
6,Class6,1704029016.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,0,3,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
6,Class6,1704029016.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,0,3,05e1c3ce1728da7e37e0,female,20,J87654,k4W1c,k4W1c_h5r6nux7
7,Class6,1704028895.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_5Q4KoXthUuYz3bvrTDFm,0,5,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
7,Class6,1704028895.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_5Q4KoXthUuYz3bvrTDFm,0,5,05e1c3ce1728da7e37e0,female,20,J87654,k4W1c,k4W1c_h5r6nux7
8,Class6,1704028432.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_BXr9AIsPQhwNvyGdZL57,476,--,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
9,Class6,1704028288.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_5Q4KoXthUuYz3bvrTDFm,316,--,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
10,Class6,1704028281.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_Cj9Ya2R7fZd6xs1q5mNQ,316,--,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
11,Class6,1704027689.0,Absolutely_Correct,3,Question_pVKXjZn0BkSwYcsa7C31,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,4,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
11,Class6,1704027689.0,Absolutely_Correct,3,Question_pVKXjZn0BkSwYcsa7C31,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
12,Class6,1704027411.0,Absolutely_Correct,3,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,308,4,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
12,Class6,1704027411.0,Absolutely_Correct,3,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,308,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
13,Class6,1704027385.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
13,Class6,1704027385.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
14,Class6,1704027340.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
14,Class6,1704027340.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
15,Class6,1704027313.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
15,Class6,1704027313.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
16,Class6,1704027246.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
16,Class6,1704027246.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
17,Class6,1704027213.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_BXr9AIsPQhwNvyGdZL57,0,1,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
17,Class6,1704027213.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_BXr9AIsPQhwNvyGdZL57,0,1,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
18,Class6,1704027124.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_5Q4KoXthUuYz3bvrTDFm,364,4,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
18,Class6,1704027124.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_5Q4KoXthUuYz3bvrTDFm,364,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
19,Class6,1704026983.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,3,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
19,Class6,1704026983.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
20,Class6,1704026963.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_gj1NLb4Jn7URf9K2kQPd,348,3,05e1c3ce1728da7e37e0,female,20,J87654,y9W5d,y9W5d_c0w4mj5h
20,Class6,1704026963.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_gj1NLb4Jn7URf9K2kQPd,348,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
21,Class6,1704026573.0,Absolutely_Correct,3,Question_Jr4Wz5jLqmN01KUwHa7g,Method_Cj9Ya2R7fZd6xs1q5mNQ,208,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_t0v5ts9h
22,Class6,1704026136.0,Absolutely_Correct,3,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_m8vwGkEZc3TSW2xqYUoR,184,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_v3d9is1x
23,Class6,1704025989.0,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_m8vwGkEZc3TSW2xqYUoR,0,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_v3d9is1x
24,Class6,1704025842.0,Absolutely_Correct,3,Question_7NJzCXUPcvQF4Mkfh9Wr,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_v3d9is1x
25,Class6,1704025583.0,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,312,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
26,Class6,1704025572.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
27,Class6,1704025295.0,Absolutely_Correct,3,Question_NixCn84GdK2tySa5rB1V,Method_m8vwGkEZc3TSW2xqYUoR,332,5,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
28,Class6,1704025270.0,Error1,0,Question_NixCn84GdK2tySa5rB1V,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
29,Class6,1704025119.0,Absolutely_Correct,3,Question_TmKaGvfNoXYq4FZ2JrBu,Method_m8vwGkEZc3TSW2xqYUoR,184,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
30,Class6,1704025104.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
31,Class6,1704024942.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_m8vwGkEZc3TSW2xqYUoR,0,1,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
32,Class6,1704024883.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_5Q4KoXthUuYz3bvrTDFm,0,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
33,Class6,1704024658.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_BXr9AIsPQhwNvyGdZL57,0,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
34,Class6,1704024624.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_gj1NLb4Jn7URf9K2kQPd,0,2,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
35,Class6,1704024262.0,Absolutely_Correct,3,Question_4nHcauCQ0Y6Pm8DgKlLo,Method_m8vwGkEZc3TSW2xqYUoR,352,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
36,Class6,1704023952.0,Absolutely_Correct,3,Question_6RQj2gF3OeK5AmDvThUV,Method_gj1NLb4Jn7URf9K2kQPd,192,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
37,Class6,1704023917.0,Error1,0,Question_h7pXNg80nJbw1C4kAPRm,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
38,Class6,1704023912.0,Error1,0,Question_h7pXNg80nJbw1C4kAPRm,Method_5Q4KoXthUuYz3bvrTDFm,0,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
39,Class6,1704023638.0,Absolutely_Correct,3,Question_h7pXNg80nJbw1C4kAPRm,Method_gj1NLb4Jn7URf9K2kQPd,312,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
40,Class6,1704023631.0,Absolutely_Correct,3,Question_h7pXNg80nJbw1C4kAPRm,Method_gj1NLb4Jn7URf9K2kQPd,324,4,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
41,Class6,1704023622.0,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_m8vwGkEZc3TSW2xqYUoR,316,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
42,Class6,1704023604.0,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,3,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
43,Class6,1704023556.0,Error1,0,Question_h7pXNg80nJbw1C4kAPRm,Method_BXr9AIsPQhwNvyGdZL57,0,1,05e1c3ce1728da7e37e0,female,20,J87654,m3D1v,m3D1v_r1d7fr3l
44,Class6,1704023205.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_BXr9AIsPQhwNvyGdZL57,0,2,05e1c3ce1728da7e37e0,female,20,J87654,t5V9e,t5V9e_e1k6cixp
