index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,sex,age,major,knowledge,sub_knowledge
0,Class14,2024-12-31 23:55:58,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_m8vwGkEZc3TSW2xqYUoR,320,4,2b935bfe06ef02369807,male,19,J40192,g7R2j,g7R2j_e0v1yls8
1,Class14,2024-12-31 23:55:28,Error1,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,2b935bfe06ef02369807,male,19,J40192,g7R2j,g7R2j_e0v1yls8
2,Class14,2024-12-31 23:54:28,Error1,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,3,2b935bfe06ef02369807,male,19,J40192,g7R2j,g7R2j_e0v1yls8
3,Class14,2024-12-31 23:53:44,Error1,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_m8vwGkEZc3TSW2xqYUoR,0,1,2b935bfe06ef02369807,male,19,J40192,g7R2j,g7R2j_e0v1yls8
4,Class14,2024-12-31 23:35:07,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_5Q4KoXthUuYz3bvrTDFm,356,3,2b935bfe06ef02369807,male,19,J40192,y9W5d,y9W5d_c0w4mj5h
4,Class14,2024-12-31 23:35:07,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_5Q4KoXthUuYz3bvrTDFm,356,3,2b935bfe06ef02369807,male,19,J40192,s8Y2f,s8Y2f_v4x8by9j
5,Class14,2024-12-31 23:33:31,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_BXr9AIsPQhwNvyGdZL57,328,3,2b935bfe06ef02369807,male,19,J40192,y9W5d,y9W5d_c0w4mj5h
6,Class14,2024-12-31 22:55:38,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,324,3,71d0a8156e59c4dcedfd,male,20,J87654,g7R2j,g7R2j_e0v1yls8
7,Class14,2024-12-31 22:55:12,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,320,3,71d0a8156e59c4dcedfd,male,20,J87654,g7R2j,g7R2j_j1g8gd3v
8,Class14,2024-12-31 22:54:41,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_BXr9AIsPQhwNvyGdZL57,332,3,71d0a8156e59c4dcedfd,male,20,J87654,g7R2j,g7R2j_e0v1yls8
