class,time,state,score,title_ID,method,memory,timeconsume,student_ID
Class4,2023/11/1 10:51,Absolutely_Correct,3,Question_6RQj2gF3OeK5AmDvThUV,Method_m8vwGkEZc3TSW2xqYUoR,320,2,0fc996fff93c00ca5ced
Class4,2023/11/1 10:51,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_gj1NLb4Jn7URf9K2kQPd,0,2,0fc996fff93c00ca5ced
Class4,2023/11/1 10:51,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_gj1NLb4Jn7URf9K2kQPd,0,5,0fc996fff93c00ca5ced
Class4,2023/11/1 10:51,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,0fc996fff93c00ca5ced
Class4,2023/11/1 10:50,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_BXr9AIsPQhwNvyGdZL57,0,4,0fc996fff93c00ca5ced
Class4,2023/11/1 10:50,Partially_Correct,1,Question_6RQj2gF3OeK5AmDvThUV,Method_gj1NLb4Jn7URf9K2kQPd,480,2,0fc996fff93c00ca5ced
Class4,2023/11/1 10:48,Partially_Correct,1,Question_6RQj2gF3OeK5AmDvThUV,Method_m8vwGkEZc3TSW2xqYUoR,320,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:44,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,0fc996fff93c00ca5ced
Class4,2023/11/1 10:42,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_BXr9AIsPQhwNvyGdZL57,0,4,0fc996fff93c00ca5ced
Class4,2023/11/1 10:42,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_5Q4KoXthUuYz3bvrTDFm,0,2,0fc996fff93c00ca5ced
Class4,2023/11/1 10:38,Error1,0,Question_6RQj2gF3OeK5AmDvThUV,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:33,Absolutely_Correct,3,Question_h7pXNg80nJbw1C4kAPRm,Method_m8vwGkEZc3TSW2xqYUoR,476,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:32,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_gj1NLb4Jn7URf9K2kQPd,324,2,0fc996fff93c00ca5ced
Class4,2023/11/1 10:31,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_5Q4KoXthUuYz3bvrTDFm,484,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:30,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_gj1NLb4Jn7URf9K2kQPd,320,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:29,Error3,0,Question_h7pXNg80nJbw1C4kAPRm,Method_BXr9AIsPQhwNvyGdZL57,348,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:29,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:28,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_5Q4KoXthUuYz3bvrTDFm,460,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:28,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_gj1NLb4Jn7URf9K2kQPd,356,3,0fc996fff93c00ca5ced
Class4,2023/11/1 10:27,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_BXr9AIsPQhwNvyGdZL57,336,2,0fc996fff93c00ca5ced
