index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID
0,Class4,2024-12-24 22:07:10,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,332,3,d93519b044de1fa037b0
1,Class4,2024-12-24 22:06:48,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,200,4,d93519b044de1fa037b0
2,Class4,2024-12-24 22:05:52,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,200,4,d93519b044de1fa037b0
3,Class4,2024-12-24 22:03:48,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,324,4,d93519b044de1fa037b0
4,Class4,2024-12-24 21:54:43,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_Cj9Ya2R7fZd6xs1q5mNQ,348,4,d93519b044de1fa037b0
5,Class4,2024-12-24 21:52:42,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_m8vwGkEZc3TSW2xqYUoR,372,4,d93519b044de1fa037b0
6,Class4,2024-12-24 21:48:23,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,5,d93519b044de1fa037b0
7,Class4,2024-12-24 21:46:40,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_5Q4KoXthUuYz3bvrTDFm,324,5,d93519b044de1fa037b0
8,Class4,2024-12-24 21:45:41,Absolutely_Correct,3,Question_NixCn84GdK2tySa5rB1V,Method_Cj9Ya2R7fZd6xs1q5mNQ,332,4,d93519b044de1fa037b0
9,Class4,2024-12-24 21:41:12,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,332,6,d93519b044de1fa037b0
10,Class4,2024-12-24 21:38:42,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_5Q4KoXthUuYz3bvrTDFm,364,5,d93519b044de1fa037b0
11,Class4,2024-12-24 21:34:53,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,328,4,d93519b044de1fa037b0
12,Class4,2024-12-24 21:32:06,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_BXr9AIsPQhwNvyGdZL57,348,4,d93519b044de1fa037b0
13,Class4,2024-12-24 21:28:49,Absolutely_Correct,3,Question_TmKaGvfNoXYq4FZ2JrBu,Method_BXr9AIsPQhwNvyGdZL57,364,5,d93519b044de1fa037b0
14,Class4,2024-12-24 21:25:33,Absolutely_Correct,3,Question_4nHcauCQ0Y6Pm8DgKlLo,Method_gj1NLb4Jn7URf9K2kQPd,332,5,d93519b044de1fa037b0
15,Class4,2024-12-24 21:21:05,Absolutely_Correct,3,Question_EhVPdmlB31M8WKGqL0wc,Method_gj1NLb4Jn7URf9K2kQPd,348,5,d93519b044de1fa037b0
16,Class4,2024-12-24 21:19:08,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_gj1NLb4Jn7URf9K2kQPd,332,4,d93519b044de1fa037b0
17,Class4,2024-12-24 21:17:29,Absolutely_Correct,2,Question_s6VmP1G4UbEQWRYHK9Fd,Method_BXr9AIsPQhwNvyGdZL57,356,6,d93519b044de1fa037b0
18,Class4,2024-12-24 21:16:15,Absolutely_Correct,2,Question_tgOjrpZLw4RdVzQx85h6,Method_m8vwGkEZc3TSW2xqYUoR,492,6,d93519b044de1fa037b0
19,Class4,2024-12-24 21:15:00,Absolutely_Correct,3,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_gj1NLb4Jn7URf9K2kQPd,200,5,d93519b044de1fa037b0
20,Class4,2024-12-24 17:28:13,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_Cj9Ya2R7fZd6xs1q5mNQ,352,3,afc99b4940e933922aca
21,Class4,2024-12-24 14:53:53,Absolutely_Correct,3,Question_UXqN1F7G3Sbldz02vZne,Method_5Q4KoXthUuYz3bvrTDFm,448,3,d93519b044de1fa037b0
22,Class4,2024-12-24 14:50:49,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,3,d93519b044de1fa037b0
23,Class4,2024-12-24 14:45:07,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_Cj9Ya2R7fZd6xs1q5mNQ,276,3,d93519b044de1fa037b0
24,Class4,2024-12-24 14:40:56,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,196,2,d93519b044de1fa037b0
25,Class4,2024-12-24 14:39:27,Error2,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,192,3,d93519b044de1fa037b0
26,Class4,2024-12-24 14:35:02,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_Cj9Ya2R7fZd6xs1q5mNQ,440,2,d93519b044de1fa037b0
27,Class4,2024-12-24 14:29:33,Absolutely_Correct,3,Question_Ej5mBw9rsOUKkFycGvz2,Method_Cj9Ya2R7fZd6xs1q5mNQ,364,2,d93519b044de1fa037b0
28,Class4,2024-12-24 14:26:32,Absolutely_Correct,3,Question_pVKXjZn0BkSwYcsa7C31,Method_m8vwGkEZc3TSW2xqYUoR,360,3,d93519b044de1fa037b0
29,Class4,2024-12-24 14:24:31,Absolutely_Correct,3,Question_Jr4Wz5jLqmN01KUwHa7g,Method_BXr9AIsPQhwNvyGdZL57,320,3,d93519b044de1fa037b0
30,Class4,2024-12-24 14:20:13,Absolutely_Correct,3,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_m8vwGkEZc3TSW2xqYUoR,460,3,d93519b044de1fa037b0
31,Class4,2024-12-23 22:17:29,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_gj1NLb4Jn7URf9K2kQPd,476,3,afc99b4940e933922aca
32,Class4,2024-12-23 20:17:33,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,352,4,c5d83404b165578ef794
33,Class4,2024-12-23 19:57:13,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,0,3,c5d83404b165578ef794
34,Class4,2024-12-23 14:04:24,Error2,0,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,360,2,dcd0562f8fb44933cb08
35,Class4,2024-12-23 14:04:00,Error2,0,Question_xqlJkmRaP0otZcX4fK3W,Method_5Q4KoXthUuYz3bvrTDFm,320,2,dcd0562f8fb44933cb08
36,Class4,2024-12-23 13:49:51,Absolutely_Error,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,3,dcd0562f8fb44933cb08
37,Class4,2024-12-23 13:49:30,Absolutely_Error,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_gj1NLb4Jn7URf9K2kQPd,320,3,dcd0562f8fb44933cb08
38,Class4,2024-12-23 13:48:44,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_BXr9AIsPQhwNvyGdZL57,0,1,dcd0562f8fb44933cb08
39,Class4,2024-12-23 13:48:17,Absolutely_Error,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_gj1NLb4Jn7URf9K2kQPd,192,3,dcd0562f8fb44933cb08
40,Class4,2024-12-23 13:46:37,Absolutely_Error,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_Cj9Ya2R7fZd6xs1q5mNQ,184,3,dcd0562f8fb44933cb08
41,Class4,2024-12-23 13:45:46,Absolutely_Error,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_BXr9AIsPQhwNvyGdZL57,316,3,dcd0562f8fb44933cb08
42,Class4,2024-12-23 13:37:10,Absolutely_Error,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_gj1NLb4Jn7URf9K2kQPd,360,2,dcd0562f8fb44933cb08
43,Class4,2024-12-23 13:35:01,Absolutely_Error,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_5Q4KoXthUuYz3bvrTDFm,348,4,dcd0562f8fb44933cb08
44,Class4,2024-12-23 13:33:55,Absolutely_Error,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_gj1NLb4Jn7URf9K2kQPd,308,2,dcd0562f8fb44933cb08
45,Class4,2024-12-23 13:33:23,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,dcd0562f8fb44933cb08
46,Class4,2024-12-23 13:32:42,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_BXr9AIsPQhwNvyGdZL57,336,2,dcd0562f8fb44933cb08
47,Class4,2024-12-23 13:31:57,Error1,0,Question_62XbhBvJ8NUSnApgDL94,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,dcd0562f8fb44933cb08
48,Class4,2024-12-23 13:28:54,Absolutely_Correct,2,Question_s6VmP1G4UbEQWRYHK9Fd,Method_Cj9Ya2R7fZd6xs1q5mNQ,328,3,dcd0562f8fb44933cb08
49,Class4,2024-12-23 13:28:18,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_m8vwGkEZc3TSW2xqYUoR,0,1,dcd0562f8fb44933cb08
50,Class4,2024-12-23 13:27:38,Absolutely_Correct,2,Question_tgOjrpZLw4RdVzQx85h6,Method_BXr9AIsPQhwNvyGdZL57,308,3,dcd0562f8fb44933cb08
51,Class4,2024-12-23 13:26:51,Absolutely_Error,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_Cj9Ya2R7fZd6xs1q5mNQ,344,3,dcd0562f8fb44933cb08
52,Class4,2024-12-23 13:26:07,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_BXr9AIsPQhwNvyGdZL57,312,2,dcd0562f8fb44933cb08
53,Class4,2024-12-23 13:25:38,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,0,1,dcd0562f8fb44933cb08
54,Class4,2024-12-23 13:25:09,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_gj1NLb4Jn7URf9K2kQPd,0,3,dcd0562f8fb44933cb08
55,Class4,2024-12-23 13:23:38,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,308,3,dcd0562f8fb44933cb08
56,Class4,2024-12-23 13:22:58,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_gj1NLb4Jn7URf9K2kQPd,332,3,dcd0562f8fb44933cb08
57,Class4,2024-12-23 13:21:58,Error2,0,Question_xqlJkmRaP0otZcX4fK3W,Method_5Q4KoXthUuYz3bvrTDFm,320,3,dcd0562f8fb44933cb08
58,Class4,2024-12-23 13:20:30,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,324,3,dcd0562f8fb44933cb08
59,Class4,2024-12-23 12:15:43,Error1,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,7694d71417c2f5202940
60,Class4,2024-12-23 12:15:00,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,312,3,7694d71417c2f5202940
61,Class4,2024-12-23 12:13:52,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,336,3,7694d71417c2f5202940
62,Class4,2024-12-23 12:13:17,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,180,3,7694d71417c2f5202940
63,Class4,2024-12-23 12:12:42,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_BXr9AIsPQhwNvyGdZL57,320,3,7694d71417c2f5202940
64,Class4,2024-12-23 12:05:26,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_Cj9Ya2R7fZd6xs1q5mNQ,352,3,7694d71417c2f5202940
65,Class4,2024-12-23 12:04:08,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,180,4,7694d71417c2f5202940
66,Class4,2024-12-23 12:02:56,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,184,2,7694d71417c2f5202940
67,Class4,2024-12-23 12:02:30,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,320,2,7694d71417c2f5202940
68,Class4,2024-12-23 12:00:48,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,0,1,7694d71417c2f5202940
69,Class4,2024-12-23 12:00:18,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,0,4,7694d71417c2f5202940
70,Class4,2024-12-23 11:59:41,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,0,4,7694d71417c2f5202940
71,Class4,2024-12-23 11:58:52,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,200,2,7694d71417c2f5202940
72,Class4,2024-12-23 10:47:45,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_5Q4KoXthUuYz3bvrTDFm,0,5,afc99b4940e933922aca
73,Class4,2024-12-23 10:47:29,Error1,0,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,0,5,afc99b4940e933922aca
74,Class4,2024-12-23 10:47:24,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,460,4,afc99b4940e933922aca
75,Class4,2024-12-23 10:47:15,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_gj1NLb4Jn7URf9K2kQPd,436,4,afc99b4940e933922aca
76,Class4,2024-12-23 10:45:13,Absolutely_Error,0,Question_xqlJkmRaP0otZcX4fK3W,Method_BXr9AIsPQhwNvyGdZL57,352,3,afc99b4940e933922aca
77,Class4,2024-12-23 00:27:13,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,324,3,3ba42ec5350aacb0750a
78,Class4,2024-12-23 00:26:40,Absolutely_Error,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,2,3ba42ec5350aacb0750a
79,Class4,2024-12-23 00:26:26,Absolutely_Error,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_BXr9AIsPQhwNvyGdZL57,196,2,3ba42ec5350aacb0750a
80,Class4,2024-12-23 00:22:08,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,312,3,3ba42ec5350aacb0750a
81,Class4,2024-12-23 00:04:54,Error1,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,7694d71417c2f5202940
82,Class4,2024-12-23 00:03:17,Absolutely_Error,0,Question_X3wF8QlTyi4mZkDp9Kae,Method_m8vwGkEZc3TSW2xqYUoR,320,3,7694d71417c2f5202940
83,Class4,2024-12-23 00:03:08,Absolutely_Error,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,344,3,3ba42ec5350aacb0750a
